village;Rvillage;C_non_dargwa;dialect;language;group;C_1village;Npopulation;C_popcomment;NCenterHeight;NDiffUp;NDiffDown;NDiffHPath;NHeight;district;NCenterDist;olddisgrict;Noldcentdistance;Rdistrict;Rheight1;Rheight2;RCenterDist1;RCenterDist2;Raccessibility;TNonLocatives;TSeries;TOreintation;TDirective;TDirGram;TFormsSeries;CNeutral;TNonserialloc;Tdublets;TLocatives;Rlocatives;dir2var;source;
Kadar;Кадар;1;кадарский;СД;северная;;3144;;610;837;289;1126;1100;Буйнакский;33;Темир-Хан-Шуринский округ;33;0;1;1;1;4;5;3;1;3;0;0;3;0;3;;6;1;примечание;источник;
Levashi;Леваши;0;акушинский;СД;северная;;1119;;0;0;0;0;1269;Левашинский;0;Даргинский округ;0;1;1;2;0;0;4;3;3;4;0;0;4;0;0;;12;1;две серии элатива ;Чечуро;
mekegi;Мекеги;0;nodata;губденский;северная;;5536;;103;480;364;844;1222;Левашинский;15.5;Даргинский округ;15.5;1;1;2;0;1;5;7;3;4;0;0;4;0;0;4;12;1;одна неполная серия;Чечуро;
Tsudakhar;Цудахар;2;;цудахарский;северная;;3196;;-17;351;517;868;1102;Левашинский;26;Даргинский округ;26;1;1;1;1;2;5;5;4;3;0;0;3;0;na;;12;1;2 серии показателей директива;Чечуро;
Myurego;Мюрего;0;мюрего-губденский;губденский;северная;;2926;;117;801;722;1523;525;Сергокалинский;7;Кайтаго-Табасаранский округ;46;1;0;0;2;4;6;3;2;7;0;0;7;0;3;;17;1;в системе трех форм не хватает;Чечуро;
Usisha;Усиша;0;;цудахарский;северная;;3707;;381;576;312;888;1500;Акушинский;8;Даргинский округ;26;1;2;3;1;2;7;3;5;3;0;0;3;0;3;3;18;1;АНТЕ (эсс, эл, 2 дир), еще формы с -ле (неясное значение);Чечуро;
Sanzhi;Санжи;0;;санжи-ицаринский;южная;;67;;1142;2317;1315;3632;1550;Дахадаевский;53;Кайтаго-Табасаранский округ;48;1;2;3;2;4;9;5;6;3;0;0;3;0;0;6;18;1;АД (1), Супер (2);Чечуро;
Kuppa;Куппа;0;;цудахарский;северная;;2145;;-8;333;491;824;1111;Левашинский;21.5;Даргинский округ;21.5;1;1;1;1;2;5;3;6;3;0;0;3;0;3;;21;2;АНТЕ (лат, эсс);Чечуро;
Ginta;Гинта;0;акушинский;СД;северная;;1226;;495;616;238;854;1614;Акушинский;12.5;Даргинский округ;32;1;2;4;1;3;9;3;6;4;0;0;4;0;2;;23;2;ориент ТРАНС (3 лок);Чечуро;
Nizhnie Mulebki;Нижние Мулебки;0;урахинский;СД;северная;;2327;;140;862;833;1695;1259;Сергокалинский;26;Даргинский округ;29;1;1;2;1;2;6;7;6;4;0;0;4;0;0;;24;2;;Чечуро;
Kubachi;Кубачи;0;;кубачинский;южная;;2124;;1239;1441;311;1752;1647;Дахадаевский;21;Кайтаго-Табасаранский округ;28;1;2;4;1;2;8;7;6;4;0;0;4;0;0;0;24;2;два варианта элатива;Чечуро;
Verkhnie Mulebki;Верхние Мулебки;0;верхнемулебкинский;СД;северная;;1426;;431;811;513;1324;1550;Акушинский;22;Даргинский округ;29;1;2;3;1;2;7;3;5;4;0;0;4;0;1;;24;2;;Чечуро;Джамаладинова (2008) Категория падежа в мекегинском диалекте даргинского языка
Meusisha;Меусиша;0;;муиринский;северная;;1427;;320;1136;913;2049;1439;Дахадаевский;7;Даргинский округ;49;1;1;3;2;4;9;3;6;4;0;0;4;0;0;;24;2;;Чечуро;
Itsari;Ицари;0;;санжи-ицаринский;южная;;1637;;1144;2317;1313;3630;1552;Дахадаевский;47;Кайтаго-Табасаранский округ;42;1;2;3;2;4;9;6;6;4;0;0;4;0;0;12;24;2;4 оринетации нормальные, одна под вопросом. одна редко встерчается, одна -- только 2 лок;Чечуро;
Megeb;Мегеб;1;;мегебский;северная;;755;;826;1362;1275;2637;2060;Гунибский;28;Гунибский округ;28;2;3;6;1;2;12;3;5;5;0;0;5;0;0;5;25;2;"""7 ориентации восходят к директиву";" еще одна лок имеет 3 ориентации""";Чечуро
Mugi;Муги;0;;акушинский;северная;;3060;;403;358;88;446;1522;Акушинский;11.5;Даргинский округ;20;1;2;3;1;1;6;3;5;4;0;0;4;0;6;;26;2;;Чечуро;Мирзамагомедова 2007
Ashty;Ашты;0;;аштынский;южная;;1578;(вместе с Худуцем?);1313;2218;1001;3219;1721;Дахадаевский;51;Казикумухский округ;51;1;2;4;2;5;11;7;7;4;0;0;4;0;0;1;28;2;"""элатив начала движения (2 формы), аллатив (1)";" следы директива""";Чечуро
Kalkni;Калкни;0;;муиринский;северная;;1003;;848;1246;535;1781;1256;Дахадаевский;10;Кайтаго-Табасаранский округ;30;1;1;2;1;2;6;6;6;5;0;0;5;0;0;4;30;2;;Чечуро;
Chirag;Чираг;1;;чирагский;чирагская;;1010;;781;1497;791;2288;2320;Агульский;20;Казикумухский округ;57;2;3;6;2;5;15;4;5;4;1;3;6;0;3;0;30;2;два ряда показателей ИН, 6 локализаций вместе с ЛОК;;
Akusha;Акуша;0;акушинский;СД;северная;;6837;;234;401;265;666;1353;Акушинский;0;Даргинский округ;25;1;1;2;1;2;6;7;5;3;1;4;7;1;0;0;35;3;;;
Butri;Бутри;0;;усиша-бутринский;северная;;1243;;491;670;239;909;1610;Акушинский;15.5;Даргинский округ;35;1;2;4;1;3;9;7;5;4;1;4;7;0;na;;35;3;3 элатива без направления, постлатив (1);;
Khuduts;Худуц;0;;ЮЗД;южная;;425;;1338;2141;950;3091;1746;Дахадаевский;49;Казикумухский округ;49;1;2;4;2;4;10;5;5;4;1;3;7;1;0;0;35;3;направление у транслатива, а у элатива нет! три доп псевдолокаивные формы;Ganenkov draft;
Aymaumakhi;Аймаумахи;0;урахинский;СД;северная;;256;;-1;963;950;1913;1118;Сергокалинский;21;Даргинский округ;33;1;1;1;1;3;6;3;5;5;1;2;6;0;2;5;37;3;;;
Shari;Шари;0;;шаринский;кайтагская;;990;;332;2480;1017;3905;1871;Агульский;39;Казикумухский округ;116;2;2;5;3;6;15;6;5;4;1;4;8;1;0;0;40;3;;;
Madzhalis;Маджалис;2;;кайтагский;кайтагская;;2324;;0;0;0;0;408;Кайтагский;0;Кайтаго-Табасаранский округ;0;1;0;0;0;0;2;5;6;4;1;4;7;0;0;6;42;4;два варианта элатива;;
Deybuk;Дейбук;0;;муиринский;северная;;1005;;417;1109;825;1934;1536;Дахадаевский;17;Даргинский округ;42;1;2;4;2;4;10;3;6;4;1;4;7;0;3;;43;4;"""система сильно нестандартная (направление в системе дестинатива, траектория движения по чему-то)";" два варианта элатива""";Темирбулатова
Kischa;Кища;0;;муиринский;северная;;2747;;884;1141;270;1411;1292;Дахадаевский;8;Кайтаго-Табасаранский округ;34;1;1;2;1;3;7;3;6;4;1;4;7;0;2;;44;4;элатив и директив;Гасик;
Gapshima;Гапшима;0;;гапшиминский;северная;;825;;492;645;261;906;1611;Акушинский;9;Даргинский округ;34;1;2;4;1;3;9;3;5;4;1;4;8;1;9;;44;4;;Sumbatova, Mutalov 2003;
Kharbuk;Харбук;0;;муиринский;северная;;1582;;983;1604;606;2210;1391;Дахадаевский;18;Кайтаго-Табасаранский округ;44;1;1;2;2;4;8;3;6;4;1;4;8;1;2;;44;4;;;
Shiri;Шири;0;;амузги-ширинский;южная;;80;;1191;1806;754;2560;1599;Дахадаевский;28;Кайтаго-Табасаранский округ;36;1;2;3;1;3;8;6;6;5;1;3;8;1;0;1;48;4;;Муталов 2017;
Tsugni;Цугни;0;;ЮЗД;южная;;1213;;402;1061;743;1804;1521;Акушинский;30;Даргинский округ;55;1;2;3;2;5;10;6;7;4;2;4;10;0;0;0;70;5;;Шахбанова 2007;
